trade_date,segment,source,instrument,underlying,symbol,expiry,strike,option_type,open,high,low,close,last_price,settle_price,volume,turnover,open_interest,change_in_oi,source_row_number,source_provider,source_format,contract_type,aqsd_underlying
2026-05-21,FO,NSE,STF,KAYNES,KAYNES,2026-07-28,,,2990.0,3051.7,2922.0,3045.8,3030.0,3045.8,54,24067515.0,213750,-5550,6187,NSE,UDIFF F&O BHAVCOPY,FUTURE,KAYNES
2026-05-21,FO,NSE,STF,KAYNES,KAYNES,2026-05-26,,,3020.0,3132.9,3005.1,3120.1,3127.0,3120.1,9428,2908592090.0,3823900,-781000,6277,NSE,UDIFF F&O BHAVCOPY,FUTURE,KAYNES
2026-05-21,FO,NSE,STF,KEI,KEI,2026-05-26,,,5169.4,5300.0,5169.0,5239.3,5232.0,5239.3,3845,3520799205.0,1349775,-329525,6388,NSE,UDIFF F&O BHAVCOPY,FUTURE,KEI
2026-05-21,FO,NSE,STF,KEI,KEI,2026-06-30,,,5170.7,5298.5,5134.3,5229.1,5222.5,5229.1,3108,2837453010.0,392525,278950,6408,NSE,UDIFF F&O BHAVCOPY,FUTURE,KEI
2026-05-21,FO,NSE,STF,KEI,KEI,2026-07-28,,,5194.0,5259.9,5138.2,5219.8,5222.0,5219.8,23,20954605.0,8050,525,6517,NSE,UDIFF F&O BHAVCOPY,FUTURE,KEI
2026-05-21,FO,NSE,STF,MFSL,MFSL,2026-07-28,,,1632.1,1647.6,1628.0,1646.6,1646.6,1646.6,6,3932160.0,7200,800,6533,NSE,UDIFF F&O BHAVCOPY,FUTURE,MFSL
2026-05-21,FO,NSE,STF,MFSL,MFSL,2026-05-26,,,1630.0,1638.2,1604.9,1628.4,1625.3,1628.4,7593,4936175280.0,6386400,-2708800,6552,NSE,UDIFF F&O BHAVCOPY,FUTURE,MFSL
2026-05-21,FO,NSE,STF,MFSL,MFSL,2026-06-30,,,1625.1,1648.9,1613.1,1638.6,1633.7,1638.6,7715,5048278240.0,3022800,2754400,6637,NSE,UDIFF F&O BHAVCOPY,FUTURE,MFSL
2026-05-21,FO,NSE,STF,NYKAA,NYKAA,2026-05-26,,,276.1,276.3,273.0,274.9,276.0,274.9,5260,4509178593.75,37356250,-10743750,6752,NSE,UDIFF F&O BHAVCOPY,FUTURE,NYKAA
2026-05-21,FO,NSE,STF,NYKAA,NYKAA,2026-06-30,,,276.9,277.5,274.5,276.6,277.5,276.6,4794,4134145625.0,14540625,11868750,6785,NSE,UDIFF F&O BHAVCOPY,FUTURE,NYKAA
2026-05-21,FO,NSE,STF,NYKAA,NYKAA,2026-07-28,,,276.5,278.4,275.55,277.95,278.4,277.95,26,22449531.25,96875,43750,6790,NSE,UDIFF F&O BHAVCOPY,FUTURE,NYKAA
2026-05-21,FO,NSE,STF,PAGEIND,PAGEIND,2026-05-26,,,38780.0,39600.0,37585.0,38495.0,38490.0,38495.0,15966,9222672000.0,191505,-98925,6898,NSE,UDIFF F&O BHAVCOPY,FUTURE,PAGEIND
2026-05-21,FO,NSE,STF,PAGEIND,PAGEIND,2026-06-30,,,38550.0,39690.0,37250.0,38560.0,38445.0,38560.0,12542,7208161950.0,133410,116430,6959,NSE,UDIFF F&O BHAVCOPY,FUTURE,PAGEIND
2026-05-21,FO,NSE,STF,PAGEIND,PAGEIND,2026-07-28,,,38130.0,39500.0,37170.0,38650.0,38650.0,38650.0,39,29789200.0,760,260,6960,NSE,UDIFF F&O BHAVCOPY,FUTURE,PAGEIND
2026-05-21,FO,NSE,STF,PERSISTENT,PERSISTENT,2026-05-26,,,5066.4,5103.8,4986.8,5029.4,5030.6,5029.4,15237,7674883160.0,2269400,-1065000,7083,NSE,UDIFF F&O BHAVCOPY,FUTURE,PERSISTENT
2026-05-21,FO,NSE,STF,PERSISTENT,PERSISTENT,2026-07-28,,,5025.0,5030.0,4950.0,4986.2,4990.0,4986.2,67,41804475.0,20875,4625,7084,NSE,UDIFF F&O BHAVCOPY,FUTURE,PERSISTENT
2026-05-21,FO,NSE,STF,PERSISTENT,PERSISTENT,2026-06-30,,,5059.9,5069.2,4942.4,4988.6,4975.0,4988.6,15290,7630627150.0,1441800,934600,7178,NSE,UDIFF F&O BHAVCOPY,FUTURE,PERSISTENT
2026-05-21,FO,NSE,STF,SBILIFE,SBILIFE,2026-06-30,,,1895.0,1895.0,1862.9,1868.8,1865.5,1868.8,6902,4848536512.5,3615750,1857375,7332,NSE,UDIFF F&O BHAVCOPY,FUTURE,SBILIFE
2026-05-21,FO,NSE,STF,SBILIFE,SBILIFE,2026-07-28,,,1889.5,1892.4,1878.5,1879.6,1878.5,1879.6,18,12723225.0,214500,2250,7386,NSE,UDIFF F&O BHAVCOPY,FUTURE,SBILIFE
2026-05-21,FO,NSE,STF,SBILIFE,SBILIFE,2026-05-26,,,1894.4,1894.4,1853.5,1858.3,1857.7,1858.3,7185,5020115137.5,4855125,-2059500,7424,NSE,UDIFF F&O BHAVCOPY,FUTURE,SBILIFE
2026-05-21,FO,NSE,STF,TIINDIA,TIINDIA,2026-05-26,,,2995.8,3072.9,2995.7,3012.7,3008.2,3012.7,5961,3631553700.0,1436200,-792200,7471,NSE,UDIFF F&O BHAVCOPY,FUTURE,TIINDIA
2026-05-21,FO,NSE,STF,TIINDIA,TIINDIA,2026-07-28,,,3045.8,3052.1,3027.6,3027.6,3027.6,3027.6,7,4261340.0,4000,-200,7500,NSE,UDIFF F&O BHAVCOPY,FUTURE,TIINDIA
2026-05-21,FO,NSE,STF,TIINDIA,TIINDIA,2026-06-30,,,3006.9,3068.2,3005.8,3025.2,3011.4,3025.2,5404,3294678480.0,848000,647000,7632,NSE,UDIFF F&O BHAVCOPY,FUTURE,TIINDIA
2026-05-21,FO,NSE,STF,TITAN,TITAN,2026-05-26,,,4128.0,4132.7,4077.1,4088.7,4092.7,4088.7,11676,8360807787.5,5119625,-1340150,7721,NSE,UDIFF F&O BHAVCOPY,FUTURE,TITAN
